Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
10 to 49 acres  ................................................................ farms,311,230,470,334,547,397,"1,484",131,,,,,
acres,"8,398","5,646","12,312","9,319","14,690","10,841","39,481","3,378",,,,,
50 to 69 acres  ................................................................ farms,117,63,108,166,200,137,347,40,,,,,
acres,"6,689","3,728","6,360","9,551","11,467","7,856","20,086","2,375",,,,,
70 to 99 acres  ................................................................ farms,94,49,133,140,234,97,303,39,,,,,
acres,"7,780","3,997","10,892","11,531","19,242","7,892","24,883","3,183",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,81,51,89,94,209,96,242,28,,,,,
acres,"9,131","5,794","10,255","10,613","24,256","11,182","28,509","3,139",,,,,
140 to 179 acres  ............................................................ farms,57,40,36,49,120,69,145,15,,,,,
acres,"8,915","6,247","5,486","7,666","18,993","10,921","22,503","2,342",,,,,
180 to 219 acres  ............................................................ farms,45,33,26,26,81,60,99,7,,,,,
acres,"9,153","6,474","5,057","5,138","16,030","11,788","19,504","1,354",,,,,
220 to 259 acres  ............................................................ farms,34,17,23,14,77,21,42,4,,,,,
acres,"8,072","4,008","5,409","3,294","18,263","5,135","9,865",951,,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,67,44,68,65,177,60,111,20,,,,,
acres,"22,971","14,865","24,496","22,428","62,770","20,604","38,623","7,175",,,,,
500 to 999 acres  ............................................................ farms,43,25,35,38,56,7,29,16,,,,,
acres,"28,390","17,460","22,880","26,661","37,910","4,406","18,555","11,118",,,,,
"1,000 to 1,999 acres  ...................................................... farms",30,8,18,35,15,1,5,5,,,,,
acres,"36,288","10,420","26,016","51,305","20,054",(D),"5,791","7,544",,,,,
"2,000 acres or more ....................................................... farms",19,2,6,37,7,-,-,-,,,,,
acres,"81,344",(D),"14,666","129,007","17,360",-,-,-,,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",582,388,643,697,"1,154",659,"2,053",198,,,,,
2007,696,442,833,890,"1,273",867,"2,580",239,,,,,
"acres, 2012","147,414","26,344","74,761","250,220","88,375","25,816","90,806","14,245",,,,,
2007,"154,633","34,257","93,141","250,270","103,973","39,805","118,582","22,137",,,,,
"Harvested cropland .................................................. farms, 2012",421,338,602,510,"1,017",606,"1,928",179,,,,,
2007,410,354,716,558,"1,027",717,"2,239",189,,,,,
"acres, 2012","115,228","19,822","67,867","233,713","72,776","19,507","78,350","11,541",,,,,
2007,"101,530","17,662","70,975","211,202","65,122","20,745","75,957","14,044",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",80,50,65,58,145,91,235,14,,,,,
2007,212,182,246,231,425,359,"1,006",78,,,,,
"acres, 2012","12,142","4,437","4,582","5,420","9,977","4,906","7,332","1,870",,,,,
2007,"23,072","13,693","14,877","16,245","29,427","16,338","35,133","5,154",,,,,
Item,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",569,561,457,579,589,"1,437",413,844,,,,,
2007,715,669,462,624,623,"1,683",491,"1,017",,,,,
"Land in farms  .............................................................. acres, 2012","58,837","52,307","64,395","153,804","126,166","133,351","219,384","162,261",,,,,
2007,"69,383","54,599","60,646","147,951","109,752","151,042","214,336","165,442",,,,,
"Average size of farm  ........................................... acres, 2012",103,93,141,266,214,93,531,192,,,,,
2007,97,82,131,237,176,90,437,163,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",569,561,457,579,589,"1,437",413,844,,,,,
2007,715,669,462,624,623,"1,683",491,"1,017",,,,,
"$1,000, 2012","275,466","295,743","147,915","392,888","319,336","469,715","791,531","358,089",,,,,
2007,"264,574","296,950","179,207","366,892","279,763","549,437","518,730","386,950",,,,,
"Average per farm ................................................ dollars, 2012","484,122","527,171","323,666","678,563","542,166","326,872","1,916,540","424,277",,,,,
2007,"370,033","443,871","387,894","587,967","449,058","326,463","1,056,476","380,482",,,,,
"Average per acre  ................................................ dollars, 2012","4,682","5,654","2,297","2,554","2,531","3,522","3,608","2,207",,,,,
2007,"3,813","5,439","2,955","2,480","2,549","3,638","2,420","2,339",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................",39,37,40,39,57,81,38,112,,,,,
"$50,000 to $99,999  ................................................................",28,54,76,70,66,133,53,125,,,,,
"$100,000 to $199,999  ............................................................",105,71,116,132,138,344,92,210,,,,,
"$200,000 to $499,999  ............................................................",241,219,161,200,204,644,89,236,,,,,
"$500,000 to $999,999  ............................................................",99,107,39,70,61,186,36,96,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................",39,52,19,27,23,32,36,36,,,,,
"$2,000,000 to $4,999,999  ......................................................",15,18,5,28,33,14,36,22,,,,,
"$5,000,000 to $9,999,999  ......................................................",2,3,1,8,6,3,19,5,,,,,
"$10,000,000 or more  ..............................................................",1,-,-,5,1,-,14,2,,,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","103,155","347,156","142,289","427,357","369,492","311,676","341,192","332,848",,,,,
"Proportion in farms  ........................................... percent, 2012",57,15.1,45.3,36,34.1,42.8,64.3,48.7,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,33,44,8,14,15,69,15,22,,,,,
acres,177,(D),35,70,102,(D),98,111,,,,,
10 to 49 acres  ............................................................... farms,248,258,124,126,157,544,114,186,,,,,
acres,"6,655","6,953",(D),"3,915","4,573","15,138","3,267","5,642",,,,,
50 to 69 acres  ............................................................... farms,68,74,59,49,52,201,44,105,,,,,
acres,"3,873","4,301","3,449","2,897","3,045","11,703","2,546","6,126",,,,,
70 to 99 acres  ............................................................... farms,60,48,68,64,73,201,34,102,,,,,
acres,"4,813","3,934","5,630","5,353","6,013","16,482","2,817","8,624",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,45,41,48,89,71,156,38,122,,,,,
acres,"5,216","4,779","5,490","10,259","8,401","18,029","4,481","14,231",,,,,
140 to 179 acres  ........................................................... farms,33,33,31,51,42,90,19,72,,,,,
acres,"5,227","5,168","4,916","7,957","6,532","14,335","2,963","11,532",,,,,
180 to 219 acres  ........................................................... farms,23,12,38,37,28,57,22,63,,,,,
acres,"4,516","2,388","7,512","7,367","5,558","11,271","4,372","12,578",,,,,
220 to 259 acres  ........................................................... farms,15,11,19,25,18,29,9,35,,,,,
acres,"3,521","2,651","4,390","5,942","4,441","6,968","2,110","8,497",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,33,22,42,59,63,71,36,82,,,,,
acres,"12,214","7,683","14,824","20,689","20,611","25,382","12,754","29,023",,,,,
500 to 999 acres  ........................................................... farms,5,13,19,39,46,17,25,31,,,,,
acres,"3,178","6,969","13,055","25,697","30,803","11,127","18,181","20,963",,,,,
"1,000 to 1,999 acres ...................................................... farms",4,3,1,15,18,2,23,18,,,,,
acres,(D),"3,086",(D),"21,213","21,869",(D),"32,440","22,369",,,,,
"2,000 acres or more  ...................................................... farms",2,2,-,11,6,-,34,6,,,,,
acres,(D),(D),-,"42,445","14,218",-,"133,355","22,565",,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,53,80,32,8,29,116,24,32,,,,,
acres,343,(D),123,17,136,606,142,144,,,,,
10 to 49 acres  ............................................................... farms,292,302,114,140,205,694,140,262,,,,,
acres,"7,735","7,932","3,324","4,373","5,793","17,902","3,979","7,724",,,,,
50 to 69 acres  ............................................................... farms,83,66,55,75,58,180,72,101,,,,,
acres,"4,698","3,823","3,277","4,308","3,413","10,387","4,176","5,858",,,,,
70 to 99 acres  ............................................................... farms,102,73,63,91,60,236,52,136,,,,,
acres,"8,220","6,049","5,160","7,490","5,048","19,839","4,230","11,376",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,60,52,62,81,65,154,40,129,,,,,
acres,"7,014","5,873","7,119","9,627","7,515","18,037","4,569","14,501",,,,,
140 to 179 acres  ........................................................... farms,46,26,37,39,39,89,13,91,,,,,
acres,"7,253","4,107","5,884","5,996","6,176","14,100","2,131","14,360",,,,,
180 to 219 acres  ........................................................... farms,18,17,22,41,30,60,17,66,,,,,
acres,"3,653","3,340","4,398","8,089","5,892","11,664","3,295","13,191",,,,,
220 to 259 acres  ........................................................... farms,10,9,14,25,21,53,12,43,,,,,
acres,"2,413","2,151",(D),"5,940","5,005","12,763","2,882","10,075",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,35,29,51,64,65,76,28,108,,,,,
acres,"13,354","9,925","17,822","22,989","21,684","27,359","10,015","36,922",,,,,
500 to 999 acres  ........................................................... farms,9,14,10,35,34,22,31,31,,,,,
acres,"5,590","9,449","6,699","24,088","21,603","14,084","22,412","21,128",,,,,
"1,000 to 1,999 acres ...................................................... farms",7,1,2,16,14,3,38,13,,,,,
acres,"9,110",(D),(D),"21,716","19,912","4,301","57,624","15,823",,,,,
"2,000 acres or more  ...................................................... farms",-,-,-,9,3,-,24,5,,,,,
acres,-,-,-,"33,318","7,575",-,"98,881","14,340",,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  ............................................................. farms, 2012",433,378,359,448,458,"1,152",369,670,,,,,
2007,589,461,409,497,476,"1,423",411,820,,,,,
"acres, 2012","27,349","19,737","15,608","78,235","59,891","42,284","197,034","79,823",,,,,
2007,"38,874","22,521","23,120","78,720","63,483","56,334","196,282","86,150",,,,,
"Harvested cropland  ................................................. farms, 2012",404,326,329,289,369,"1,082",228,461,,,,,
2007,496,373,335,290,304,"1,240",248,509,,,,,
"acres, 2012","22,864","14,549","10,970","53,986","46,028","34,553","183,264","61,127",,,,,
2007,"21,468","13,026","11,205","47,493","39,973","38,235","172,784","54,351",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",41,38,50,65,41,139,20,101,,,,,
2007,234,143,192,169,157,484,102,255,,,,,
"acres, 2012","2,623","3,626","3,507","11,833","4,793","4,910","1,699","6,747",,,,,
2007,"14,823","6,793","10,042","16,034","10,505","14,364","6,941","13,425",,,,,
Item,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",826,639,338,598,499,981,476,912,,,,,
2007,958,651,382,638,587,"1,211",513,"1,224",,,,,
"Land in farms  ............................................................... acres, 2012","204,557","120,875","50,320","123,488","73,726","95,578","47,384","65,347",,,,,
2007,"193,416","112,187","47,190","118,412","75,642","101,585","43,543","82,938",,,,,
"Average size of farm  ............................................ acres, 2012",248,189,149,207,148,97,100,72,,,,,
2007,202,172,124,186,129,84,85,68,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",826,639,338,598,499,981,476,912,,,,,
2007,958,651,382,638,587,"1,211",513,"1,224",,,,,
"$1,000, 2012","568,540","289,357","114,156","351,254","213,345","516,146","225,759","501,189",,,,,
2007,"524,643","307,143","113,915","304,963","205,943","475,280","190,230","536,782",,,,,
"Average per farm  ............................................... dollars, 2012","688,305","452,828","337,740","587,381","427,545","526,143","474,283","549,549",,,,,
2007,"547,644","471,801","298,207","477,999","350,839","392,469","370,818","438,547",,,,,
"Average per acre  ............................................... dollars, 2012","2,779","2,394","2,269","2,844","2,894","5,400","4,764","7,670",,,,,
2007,"2,713","2,738","2,414","2,575","2,723","4,679","4,369","6,472",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",60,34,28,30,35,34,38,41,,,,,
"$50,000 to $99,999  .................................................................",91,72,36,49,53,62,43,71,,,,,
"$100,000 to $199,999  .............................................................",191,135,68,128,122,191,104,150,,,,,
"$200,000 to $499,999  .............................................................",267,233,145,239,197,384,169,331,,,,,
"$500,000 to $999,999  .............................................................",104,104,42,79,59,202,69,203,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",49,41,16,37,18,78,41,72,,,,,
"$2,000,000 to $4,999,999  .......................................................",42,17,2,25,10,25,11,43,,,,,
"$5,000,000 to $9,999,999  .......................................................",16,3,1,9,3,3,-,1,,,,,
"$10,000,000 or more  ..............................................................",6,-,-,2,2,2,1,-,,,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","359,743","392,004","128,186","339,830","197,521","176,267","191,024","325,258",,,,,
"Proportion in farms  ........................................... percent, 2012",56.9,30.8,39.3,36.3,37.3,54.2,24.8,20.1,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,21,15,13,18,16,46,25,79,,,,,
acres,107,51,78,(D),79,(D),(D),(D),,,,,
10 to 49 acres  ................................................................ farms,230,160,88,163,146,404,189,430,,,,,
acres,"6,535","4,671",(D),"4,304","4,025","10,579","5,472","11,128",,,,,
50 to 69 acres  ................................................................ farms,95,65,55,66,57,135,65,107,,,,,
acres,"5,406","3,788","3,293","3,824","3,307","7,898","3,829","6,075",,,,,
70 to 99 acres  ................................................................ farms,100,81,40,52,48,127,52,95,,,,,
acres,"8,291","6,579","3,228","4,274","4,031","10,533","4,267","7,725",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,76,61,30,63,80,86,50,90,,,,,
acres,"8,994","7,198","3,496","7,606","9,421","10,032","5,852","10,340",,,,,
140 to 179 acres  ............................................................ farms,72,55,35,38,45,54,24,28,,,,,
acres,"11,223","8,606","5,422","6,058","7,055","8,535","3,801","4,289",,,,,
180 to 219 acres  ............................................................ farms,43,38,14,37,31,40,26,34,,,,,
acres,"8,325","7,545","2,816","7,164","6,077","7,900","5,075","6,688",,,,,
220 to 259 acres  ............................................................ farms,32,21,12,23,15,20,10,16,,,,,
acres,"7,619","4,998","2,887","5,447","3,563","4,748","2,321","3,851",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,68,91,28,66,33,55,26,24,,,,,
acres,"23,349","30,571","9,362","22,902","12,384","18,660","8,809","8,106",,,,,
500 to 999 acres  ............................................................ farms,53,40,22,56,25,9,7,7,,,,,
acres,"37,710","25,656","16,219","36,213","16,299","5,652","4,265","4,539",,,,,
"1,000 to 1,999 acres  ...................................................... farms",23,9,1,14,-,3,1,2,,,,,
acres,"31,835","12,542",(D),"19,425",-,"4,056",(D),(D),,,,,
"2,000 acres or more ....................................................... farms",13,3,-,2,3,2,1,-,,,,,
acres,"55,163","8,670",-,(D),"7,485",(D),(D),-,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,42,10,15,10,47,123,29,158,,,,,
acres,186,54,36,68,(D),718,109,830,,,,,
10 to 49 acres  ................................................................ farms,252,186,127,214,181,526,224,589,,,,,
acres,"7,103","5,140","3,233","5,537","4,871","14,513","6,253","14,277",,,,,
50 to 69 acres  ................................................................ farms,100,60,32,61,49,137,74,131,,,,,
acres,"5,834","3,470","1,943","3,453","2,869","7,985","4,390","7,515",,,,,
70 to 99 acres  ................................................................ farms,162,76,47,48,62,148,70,118,,,,,
acres,"13,268","6,147","3,771","4,016","4,938","12,439","5,731","9,601",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,123,65,51,73,86,87,41,98,,,,,
acres,"14,455","7,554","5,881","8,576","10,061","10,100","4,693","11,257",,,,,
140 to 179 acres  ............................................................ farms,65,63,42,43,49,65,27,34,,,,,
acres,"10,032","9,869","6,486","6,816","7,526","10,358","4,300","5,280",,,,,
180 to 219 acres  ............................................................ farms,27,37,23,33,24,30,10,17,,,,,
acres,"5,400","7,459","4,640","6,488","4,711","5,858","1,972","3,347",,,,,
220 to 259 acres  ............................................................ farms,37,28,11,23,30,30,9,25,,,,,
acres,"8,745",(D),"2,586","5,409","7,036","7,043",(D),"6,115",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,79,78,21,74,33,46,23,40,,,,,
acres,"28,089","27,170","7,205","24,463","11,058","16,005","8,223","13,303",,,,,
500 to 999 acres  ............................................................ farms,43,40,8,40,20,15,4,11,,,,,
acres,"30,368","26,211","4,816","25,987","13,390","8,604","2,396","6,831",,,,,
"1,000 to 1,999 acres  ...................................................... farms",16,6,5,16,5,2,1,2,,,,,
acres,"22,690","8,039","6,593","21,196","6,732",(D),(D),(D),,,,,
"2,000 acres or more ....................................................... farms",12,2,-,3,1,2,1,1,,,,,
acres,"47,246",(D),-,"6,403",(D),(D),(D),(D),,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",643,471,249,441,363,797,420,648,,,,,
2007,767,486,289,496,468,951,454,875,,,,,
"acres, 2012","131,596","39,329","11,828","40,760","19,476","37,711","16,138","24,489",,,,,
2007,"126,517","43,685","18,392","52,652","27,888","49,249","18,056","35,118",,,,,
"Harvested cropland .................................................. farms, 2012",505,416,218,408,320,757,407,599,,,,,
2007,553,401,224,433,349,835,400,718,,,,,
"acres, 2012","112,965","32,961","10,032","34,231","13,325","33,256","12,682","19,925",,,,,
2007,"92,084","27,128","9,576","31,034","12,166","33,140","10,599","23,073",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",78,46,28,47,46,75,43,71,,,,,
2007,225,164,97,153,206,345,158,273,,,,,
"acres, 2012","7,309","3,428",949,"3,819","3,162","2,499","2,874","2,914",,,,,
2007,"15,768","12,559","6,578","14,134","11,632","12,574","6,052","9,226",,,,,
Item,Lake,,Lauderdale,Lawrence,Lewis,,Lincoln,Loudon,McMinn,McNairy,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",60,,457,"1,559",222,,"1,595",685,"1,043",658,,,
2007,59,,602,"1,842",260,,"1,782",768,"1,204",763,,,
"Land in farms  .............................................................. acres, 2012","79,747",,"200,806","235,763","30,725",,"265,906","69,381","122,365","129,982",,,
2007,"84,100",,"192,232","238,318","35,566",,"260,874","77,040","122,502","122,763",,,
"Average size of farm  ........................................... acres, 2012","1,329",,439,151,138,,167,101,117,198,,,
2007,"1,425",,319,129,137,,146,100,102,161,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",60,,457,"1,559",222,,"1,595",685,"1,043",658,,,
2007,59,,602,"1,842",260,,"1,782",768,"1,204",763,,,
"$1,000, 2012","262,434",,"627,888","624,635","79,937",,"896,459","376,161","501,424","280,348",,,
2007,"232,257",,"419,584","738,918","101,817",,"896,984","380,835","492,991","271,124",,,
"Average per farm ................................................ dollars, 2012","4,373,904",,"1,373,935","400,664","360,079",,"562,043","549,141","480,752","426,061",,,
2007,"3,936,558",,"696,984","401,150","391,603",,"503,358","495,878","409,461","355,340",,,
"Average per acre  ................................................ dollars, 2012","3,291",,"3,127","2,649","2,602",,"3,371","5,422","4,098","2,157",,,
2007,"2,762",,"2,183","3,101","2,863",,"3,438","4,943","4,024","2,209",,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................",4,,77,107,17,,69,37,75,58,,,
"$50,000 to $99,999  ................................................................",3,,69,199,22,,129,26,93,94,,,
"$100,000 to $199,999  ............................................................",8,,109,406,58,,332,133,198,201,,,
"$200,000 to $499,999  ............................................................",11,,92,557,80,,601,293,400,183,,,
"$500,000 to $999,999  ............................................................",6,,32,196,31,,278,127,174,75,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................",3,,28,53,11,,122,42,64,30,,,
"$2,000,000 to $4,999,999  ......................................................",12,,28,30,3,,46,19,31,10,,,
"$5,000,000 to $9,999,999  ......................................................",1,,10,9,-,,12,7,7,4,,,
"$10,000,000 or more  ..............................................................",12,,12,2,-,,6,1,1,3,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","106,102",,"302,075","394,962","180,537",,"365,016","146,700","275,280","360,219",,,
"Proportion in farms  ........................................... percent, 2012",75.2,,66.5,59.7,17,,72.8,47.3,44.5,36.1,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,1,,13,69,11,,53,37,49,23,,,
acres,(D),,77,378,39,,277,181,207,111,,,
10 to 49 acres  ............................................................... farms,9,,144,498,79,,475,302,418,148,,,
acres,(D),,"4,137","13,281",(D),,"12,960","8,003","11,368","4,345",,,
50 to 69 acres  ............................................................... farms,4,,50,207,17,,175,80,134,61,,,
acres,209,,"2,873","12,233","1,044",,"9,944","4,643","7,751","3,644",,,
70 to 99 acres  ............................................................... farms,3,,59,195,26,,170,63,96,95,,,
acres,213,,"5,036","16,163","2,257",,"14,093","4,984","7,797","7,907",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,8,,38,174,30,,181,78,102,60,,,
acres,846,,"4,447","20,091","3,502",,"21,190","8,818","11,974","6,927",,,
140 to 179 acres  ........................................................... farms,1,,34,97,6,,122,44,61,58,,,
acres,(D),,"5,390","15,203",916,,"19,279","6,893","9,476","9,081",,,
180 to 219 acres  ........................................................... farms,1,,13,76,12,,82,29,43,44,,,
acres,(D),,"2,469","15,092","2,357",,"16,417","5,742","8,482","8,620",,,
220 to 259 acres  ........................................................... farms,3,,6,41,12,,74,13,28,31,,,
acres,720,,"1,422","9,729","2,983",,"17,559","2,995","6,711","7,399",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,5,,29,115,16,,165,23,71,99,,,
acres,(D),,"10,243","40,404","5,457",,"57,506","8,795","24,712","35,745",,,
500 to 999 acres  ........................................................... farms,5,,18,59,11,,76,10,33,26,,,
acres,"3,973",,"12,470","37,529","7,203",,"47,825","6,769","21,086","17,097",,,
"1,000 to 1,999 acres ...................................................... farms",3,,24,17,2,,13,4,6,8,,,
acres,"4,228",,"31,283","21,661",(D),,"16,371",(D),(D),"10,922",,,
"2,000 acres or more  ...................................................... farms",17,,29,11,-,,9,2,2,5,,,
acres,"67,302",,"120,959","33,999",-,,"32,485",(D),(D),"18,184",,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,3,,18,133,22,,90,68,75,24,,,
acres,7,,71,699,86,,496,(D),(D),142,,,
10 to 49 acres  ............................................................... farms,1,,236,615,80,,637,365,538,197,,,
acres,(D),,"6,808","17,564","2,187",,"16,377","8,947","14,615","5,800",,,
50 to 69 acres  ............................................................... farms,3,,72,220,31,,164,68,115,96,,,
acres,159,,"4,193","12,895","1,833",,"9,512","3,898","6,684","5,669",,,
70 to 99 acres  ............................................................... farms,9,,73,237,22,,178,62,122,130,,,
acres,792,,"6,152","19,590","1,883",,"14,661","5,012","9,963","10,642",,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,1,,56,186,26,,172,64,93,75,,,
acres,(D),,"6,312","21,054","2,989",,"20,297","7,392","10,699","8,782",,,
140 to 179 acres  ........................................................... farms,4,,16,91,18,,129,42,76,58,,,
acres,(D),,"2,429","14,366","2,861",,"20,222","6,528","12,005","9,145",,,
180 to 219 acres  ........................................................... farms,-,,17,73,6,,93,26,53,46,,,
acres,-,,"3,303","14,550","1,143",,"18,323","5,060","10,458","9,169",,,
220 to 259 acres  ........................................................... farms,-,,23,68,14,,56,11,23,34,,,
acres,-,,"5,384","15,942",(D),,"13,446","2,586","5,399","7,948",,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,3,,17,141,27,,179,29,81,58,,,
acres,"1,034",,"5,781","49,229","9,175",,"62,636","10,363","28,330","19,640",,,
500 to 999 acres  ........................................................... farms,9,,26,61,13,,65,25,22,33,,,
acres,"6,646",,"17,385","39,486","9,033",,"43,231","15,746","14,246","21,262",,,
"1,000 to 1,999 acres ...................................................... farms",8,,22,12,1,,11,7,5,8,,,
acres,"10,948",,"29,246","16,213",(D),,"13,563","9,040","7,299","10,449",,,
"2,000 acres or more  ...................................................... farms",18,,26,5,-,,8,1,1,4,,,
acres,"63,755",,"105,168","16,730",-,,"28,110",(D),(D),"14,115",,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  ............................................................. farms, 2012",54,,388,"1,146",154,,"1,181",528,788,513,,,
2007,57,,517,"1,415",170,,"1,331",577,916,611,,,
"acres, 2012","78,116",,"172,488","105,493","9,565",,"108,231","33,149","48,187","61,456",,,
2007,"81,149",,"162,700","120,908","13,995",,"117,883","39,310","56,371","68,318",,,
"Harvested cropland  ................................................. farms, 2012",52,,240,971,140,,"1,093",498,716,364,,,
2007,56,,264,"1,022",128,,"1,097",488,773,366,,,
"acres, 2012","76,819",,"155,742","89,536","6,906",,"91,319","29,575","40,812","45,237",,,
2007,"78,614",,"134,679","77,846","6,772",,"83,486","27,357","37,435","41,513",,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",-,,38,93,16,,142,57,83,45,,,
2007,2,,133,512,63,,460,206,290,177,,,
"acres, 2012",-,,"6,280","4,107","2,076",,"13,388","2,165","4,052","3,851",,,
2007,(D),,"7,714","25,746","5,838",,"27,013","9,414","13,216","9,013",,,
Item,Macon,Madison,Marion,Marshall,Maury,Meigs,Monroe,Montgomery,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",879,592,280,"1,025","1,513",317,872,783,,,,,
2007,"1,066",706,392,"1,078","1,696",367,935,862,,,,,
"Land in farms  ............................................................... acres, 2012","121,860","165,946","50,768","162,073","242,464","52,881","110,628","147,371",,,,,
2007,"127,801","177,090","50,593","151,583","226,404","49,116","92,570","151,461",,,,,
"Average size of farm  ............................................ acres, 2012",139,280,181,158,160,167,127,188,,,,,
2007,120,251,129,141,133,134,99,176,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",879,592,280,"1,025","1,513",317,872,783,,,,,
2007,"1,066",706,392,"1,078","1,696",367,935,862,,,,,
"$1,000, 2012","417,278","418,180","149,373","489,053","884,794","186,157","498,559","635,135",,,,,
2007,"417,842","495,962","183,590","494,859","856,652","175,829","378,512","490,413",,,,,
"Average per farm  ............................................... dollars, 2012","474,719","706,385","533,474","477,125","584,794","587,246","571,742","811,156",,,,,
2007,"391,972","702,495","468,342","459,053","505,101","479,098","404,826","568,924",,,,,
"Average per acre  ............................................... dollars, 2012","3,424","2,520","2,942","3,017","3,649","3,520","4,507","4,310",,,,,
2007,"3,269","2,801","3,629","3,265","3,784","3,580","4,089","3,238",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",47,82,16,45,80,13,45,42,,,,,
"$50,000 to $99,999  .................................................................",97,54,33,100,115,20,63,60,,,,,
"$100,000 to $199,999  .............................................................",249,134,43,248,289,40,201,157,,,,,
"$200,000 to $499,999  .............................................................",323,189,102,381,600,137,311,264,,,,,
"$500,000 to $999,999  .............................................................",104,73,52,162,241,63,160,128,,,,,
