Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,"ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>CV (%)</b>",NOT SPECIFIED  -  <b>VALUE</b>,NOT SPECIFIED  -  <b>CV (%)</b>
SURVEY,2006,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"16,700",,,,,,,,"6,300",,,,"1,600",,,,,,,,"1,000",,,,,,"1,200",,,,,
SURVEY,2006,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,800",
SURVEY,2006,YEAR,,STATE,MAINE,23,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"520,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MAINE,23,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350,000",
SURVEY,2006,YEAR,,STATE,MAINE,23,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,
SURVEY,2006,YEAR,,STATE,MAINE,23,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MAINE,23,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100",
SURVEY,2006,YEAR,,STATE,MARYLAND,24,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"480,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MARYLAND,24,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,060,000",
SURVEY,2006,YEAR,,STATE,MARYLAND,24,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,
SURVEY,2006,YEAR,,STATE,MARYLAND,24,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"7,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MARYLAND,24,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,000",
SURVEY,2006,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"520,000",
SURVEY,2006,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,
SURVEY,2006,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"3,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,100",
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,850,000",,,,,,,,"2,400,000",,,,"1,600,000",,,,,,,,"1,600,000",,,,,,"2,650,000",,,,,
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,100,000",
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"31,100",,,,,,,,"14,800",,,,"3,300",,,,,,,,"1,800",,,,,,"2,000",,,,,
SURVEY,2006,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,000",
SURVEY,2006,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,800,000",,,,,,,,"6,400,000",,,,"5,800,000",,,,,,,,"5,300,000",,,,,,"6,700,000",,,,,
SURVEY,2006,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,000,000",
SURVEY,2006,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,
SURVEY,2006,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"34,500",,,,,,,,"25,200",,,,"9,900",,,,,,,,"5,600",,,,,,"4,100",,,,,
SURVEY,2006,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,300",
SURVEY,2006,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"3,600,000",,,,,,,,"2,550,000",,,,"950,000",,,,,,,,"950,000",,,,,,"2,950,000",,,,,
SURVEY,2006,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,000,000",
SURVEY,2006,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,
SURVEY,2006,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"29,400",,,,,,,,"8,100",,,,"1,600",,,,,,,,"1,000",,,,,,"1,900",,,,,
SURVEY,2006,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,000",
SURVEY,2006,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"6,600,000",,,,,,,,"10,500,000",,,,"5,000,000",,,,,,,,"3,700,000",,,,,,"3,500,000",,,,,
SURVEY,2006,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,300,000",
SURVEY,2006,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,
SURVEY,2006,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"56,800",,,,,,,,"37,700",,,,"6,000",,,,,,,,"2,500",,,,,,"2,000",,,,,
SURVEY,2006,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,000",
SURVEY,2006,YEAR,,STATE,MONTANA,30,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"3,900,000",,,,,,,,"17,700,000",,,,"18,200,000",,,,,,,,"11,900,000",,,,,,"9,100,000",,,,,
SURVEY,2006,YEAR,,STATE,MONTANA,30,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,800,000",
SURVEY,2006,YEAR,,STATE,MONTANA,30,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,164",
SURVEY,2006,YEAR,,STATE,MONTANA,30,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"11,300",,,,,,,,"10,800",,,,"3,800",,,,,,,,"1,500",,,,,,700,,,,,
SURVEY,2006,YEAR,,STATE,MONTANA,30,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,100",
SURVEY,2006,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,400,000",,,,,,,,"7,900,000",,,,"10,200,000",,,,,,,,"10,000,000",,,,,,"16,200,000",,,,,
SURVEY,2006,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,700,000",
SURVEY,2006,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,
SURVEY,2006,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"12,500",,,,,,,,"16,300",,,,"8,500",,,,,,,,"5,200",,,,,,"5,100",,,,,
SURVEY,2006,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,600",
SURVEY,2006,YEAR,,STATE,NEVADA,32,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEVADA,32,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000",
SURVEY,2006,YEAR,,STATE,NEVADA,32,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000",
SURVEY,2006,YEAR,,STATE,NEVADA,32,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"1,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEVADA,32,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000",
SURVEY,2006,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"460,000",
SURVEY,2006,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,
SURVEY,2006,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"2,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,400",
SURVEY,2006,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"190,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"740,000",
SURVEY,2006,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,
SURVEY,2006,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"6,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY,2006,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,800",
SURVEY,2006,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,200,000",,,,,,,,"11,500,000",,,,"9,700,000",,,,,,,,"7,600,000",,,,,,"12,100,000",,,,,
SURVEY,2006,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,100,000",
SURVEY,2006,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,463",
SURVEY,2006,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"11,900",,,,,,,,"3,900",,,,800,,,,,,,,390,,,,,,510,,,,,
SURVEY,2006,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,500",
SURVEY,2006,YEAR,,STATE,NEW YORK,36,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,700,000",,,,,,,,"2,000,000",,,,"1,200,000",,,,,,,,"920,000",,,,,,"1,450,000",,,,,
SURVEY,2006,YEAR,,STATE,NEW YORK,36,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,270,000",
SURVEY,2006,YEAR,,STATE,NEW YORK,36,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,
SURVEY,2006,YEAR,,STATE,NEW YORK,36,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"18,600",,,,,,,,"10,700",,,,"2,800",,,,,,,,"1,600",,,,,,"1,300",,,,,
SURVEY,2006,YEAR,,STATE,NEW YORK,36,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000",
SURVEY,2006,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,950,000",,,,,,,,"1,750,000",,,,"1,050,000",,,,,,,,"1,350,000",,,,,,"2,700,000",,,,,
SURVEY,2006,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,800,000",
SURVEY,2006,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,
SURVEY,2006,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"28,500",,,,,,,,"10,700",,,,"2,500",,,,,,,,"2,700",,,,,,"3,600",,,,,
SURVEY,2006,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,000",
SURVEY,2006,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,400,000",,,,,,,,"7,500,000",,,,"8,000,000",,,,,,,,"7,800,000",,,,,,"13,700,000",,,,,
SURVEY,2006,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,400,000",
SURVEY,2006,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300",
SURVEY,2006,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"8,400",,,,,,,,"12,100",,,,"5,200",,,,,,,,"2,700",,,,,,"1,900",,,,,
SURVEY,2006,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,300",
SURVEY,2006,YEAR,,STATE,OHIO,39,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,350,000",,,,,,,,"4,300,000",,,,"3,050,000",,,,,,,,"2,400,000",,,,,,"2,000,000",,,,,
SURVEY,2006,YEAR,,STATE,OHIO,39,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,100,000",
SURVEY,2006,YEAR,,STATE,OHIO,39,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,
SURVEY,2006,YEAR,,STATE,OHIO,39,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"42,600",,,,,,,,"23,200",,,,"6,500",,,,,,,,"2,400",,,,,,"1,500",,,,,
SURVEY,2006,YEAR,,STATE,OHIO,39,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,200",
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"5,600,000",,,,,,,,"14,200,000",,,,"6,800,000",,,,,,,,"3,900,000",,,,,,"4,300,000",,,,,
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,800,000",
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"51,000",,,,,,,,"25,200",,,,"3,900",,,,,,,,"1,600",,,,,,"1,300",,,,,
SURVEY,2006,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,000",
SURVEY,2006,YEAR,,STATE,OREGON,41,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,400,000",,,,,,,,"4,200,000",,,,"3,500,000",,,,,,,,"3,300,000",,,,,,"4,200,000",,,,,
SURVEY,2006,YEAR,,STATE,OREGON,41,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,600,000",
SURVEY,2006,YEAR,,STATE,OREGON,41,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,
SURVEY,2006,YEAR,,STATE,OREGON,41,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"25,200",,,,,,,,"9,200",,,,"2,100",,,,,,,,"1,400",,,,,,"1,400",,,,,
SURVEY,2006,YEAR,,STATE,OREGON,41,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,300",
SURVEY,2006,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,300,000",,,,,,,,"2,200,000",,,,"1,700,000",,,,,,,,"800,000",,,,,,"800,000",,,,,
