Program,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,       1997  -  <b>VALUE</b>,       1997  -  <b>CV (%)</b>,       2002  -  <b>VALUE</b>,       2002  -  <b>CV (%)</b>,       2007  -  <b>VALUE</b>,       2007  -  <b>CV (%)</b>,       2012  -  <b>VALUE</b>,       2012  -  <b>CV (%)</b>
CENSUS,END OF DEC,,STATE,NORTH DAKOTA,38,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"16,031,895,000",,"15,823,558,000",,"30,596,974,000",,"56,002,289,000",2.8
CENSUS,END OF DEC,,STATE,NORTH DAKOTA,38,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,406,,404,,771,,"1,426",0.9
CENSUS,END OF DEC,,STATE,NORTH DAKOTA,38,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"495,730",,"517,448",,"957,053",,"1,808,801",6
CENSUS,END OF DEC,,STATE,OHIO,39,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"30,281,219,000",,"39,617,975,000",,"49,243,626,000",,"67,533,437,000",3.3
CENSUS,END OF DEC,,STATE,OHIO,39,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,068",,"2,732",,"3,528",,"4,837",0.6
CENSUS,END OF DEC,,STATE,OHIO,39,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"384,631",,"509,307",,"649,130",,"894,933",2.8
CENSUS,END OF DEC,,STATE,OKLAHOMA,40,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"21,647,714,000",,"23,796,169,000",,"40,582,468,000",,"46,049,246,000",3.5
CENSUS,END OF DEC,,STATE,OKLAHOMA,40,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,628,,699,,"1,157",,"1,340",3.3
CENSUS,END OF DEC,,STATE,OKLAHOMA,40,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"257,665",,"285,730",,"468,809",,"573,858",3.5
CENSUS,END OF DEC,,STATE,OREGON,41,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,744,663,000",,"20,383,264,000",,"31,002,186,000",,"30,676,469,000",2.4
CENSUS,END OF DEC,,STATE,OREGON,41,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,025",,"1,202",,"1,890",,"1,882",1.6
CENSUS,END OF DEC,,STATE,OREGON,41,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"444,005",,"508,882",,"804,145",,"865,613",2.3
CENSUS,END OF DEC,,STATE,PENNSYLVANIA,42,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,940,726,000",,"26,331,894,000",,"37,289,908,000",,"41,795,782,000",2.2
CENSUS,END OF DEC,,STATE,PENNSYLVANIA,42,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,524",,"3,419",,"4,775",,"5,425",2
CENSUS,END OF DEC,,STATE,PENNSYLVANIA,42,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"331,252",,"452,874",,"590,376",,"704,712",2.3
CENSUS,END OF DEC,,STATE,RHODE ISLAND,44,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"398,852,000",,"564,812,000",,"1,141,263,000",,"977,114,000",11.9
CENSUS,END OF DEC,,STATE,RHODE ISLAND,44,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,128",,"9,225",,"16,828",,"14,041",3.4
CENSUS,END OF DEC,,STATE,RHODE ISLAND,44,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"401,259",,"658,290",,"936,229",,"786,093",6.9
CENSUS,END OF DEC,,STATE,SOUTH CAROLINA,45,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,569,987,000",,"10,081,357,000",,"13,973,359,000",,"14,818,960,000",5
CENSUS,END OF DEC,,STATE,SOUTH CAROLINA,45,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,552",,"2,067",,"2,858",,"2,981",1.1
CENSUS,END OF DEC,,STATE,SOUTH CAROLINA,45,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"293,342",,"410,897",,"540,200",,"586,518",3
CENSUS,END OF DEC,,STATE,SOUTH DAKOTA,46,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"15,689,450,000",,"19,617,432,000",,"39,127,431,000",,"72,967,757,000",3
CENSUS,END OF DEC,,STATE,SOUTH DAKOTA,46,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,358,,442,,896,,"1,687",1.3
CENSUS,END OF DEC,,STATE,SOUTH DAKOTA,46,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"473,015",,"618,651",,"1,255,332",,"2,281,026",3.2
CENSUS,END OF DEC,,STATE,TENNESSEE,47,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,438,953,000",,"28,534,393,000",,"37,057,079,000",,"38,748,784,000",1.5
CENSUS,END OF DEC,,STATE,TENNESSEE,47,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,859",,"2,405",,"3,378",,"3,565",0.8
CENSUS,END OF DEC,,STATE,TENNESSEE,47,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"245,186",,"325,783",,"467,420",,"569,416",1.3
CENSUS,END OF DEC,,STATE,TEXAS,48,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"82,539,701,000",,"100,496,055,000",,"165,573,377,000",,"218,109,336,000",2.2
CENSUS,END OF DEC,,STATE,TEXAS,48,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,616,,768,,"1,270",,"1,676",0.8
CENSUS,END OF DEC,,STATE,TEXAS,48,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"361,821",,"439,066",,"669,154",,"876,614",2.6
CENSUS,END OF DEC,,STATE,UTAH,49,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,215,340,000",,"8,965,857,000",,"13,857,925,000",,"16,023,942,000",5.9
CENSUS,END OF DEC,,STATE,UTAH,49,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,600,,756,,"1,249",,"1,460",3.3
CENSUS,END OF DEC,,STATE,UTAH,49,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"456,494",,"586,310",,"829,816",,"888,886",4.4
CENSUS,END OF DEC,,STATE,VERMONT,50,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,140,671,000",,"2,542,909,000",,"3,580,584,000",,"4,011,152,000",8.1
CENSUS,END OF DEC,,STATE,VERMONT,50,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,618",,"2,051",,"2,903",,"3,205",3.2
CENSUS,END OF DEC,,STATE,VERMONT,50,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"303,211",,"386,695",,"512,684",,"546,627",4
CENSUS,END OF DEC,,STATE,VIRGINIA,51,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,590,303,000",,"23,329,488,000",,"34,141,249,000",,"35,752,388,000",3.6
CENSUS,END OF DEC,,STATE,VIRGINIA,51,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,975",,"2,675",,"4,213",,"4,306",3.6
CENSUS,END OF DEC,,STATE,VIRGINIA,51,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"356,425",,"490,064",,"720,538",,"776,719",3.6
CENSUS,END OF DEC,,STATE,WASHINGTON,53,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"20,867,404,000",,"22,414,438,000",,"29,822,309,000",,"33,905,871,000",4.5
CENSUS,END OF DEC,,STATE,WASHINGTON,53,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,292",,"1,486",,"1,992",,"2,299",2.7
CENSUS,END OF DEC,,STATE,WASHINGTON,53,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"520,306",,"623,333",,"759,146",,"910,249",5.3
CENSUS,END OF DEC,,STATE,WEST VIRGINIA,54,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,201,957,000",,"4,817,217,000",,"8,819,799,000",,"8,883,706,000",4
CENSUS,END OF DEC,,STATE,WEST VIRGINIA,54,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,123",,"1,315",,"2,385",,"2,463",0.8
CENSUS,END OF DEC,,STATE,WEST VIRGINIA,54,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"195,213",,"231,999",,"373,435",,"413,407",1.6
CENSUS,END OF DEC,,STATE,WISCONSIN,55,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"20,568,948,000",,"35,799,490,000",,"48,994,488,000",,"57,166,991,000",1.7
CENSUS,END OF DEC,,STATE,WISCONSIN,55,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,264",,"2,272",,"3,225",,"3,924",0.2
CENSUS,END OF DEC,,STATE,WISCONSIN,55,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"258,638",,"464,127",,"624,428",,"819,551",2.5
CENSUS,END OF DEC,,STATE,WYOMING,56,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,586,952,000",,"10,195,477,000",,"15,471,039,000",,"20,645,976,000",5.8
CENSUS,END OF DEC,,STATE,WYOMING,56,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,224,,290,,513,,680,2.6
CENSUS,END OF DEC,,STATE,WYOMING,56,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"803,958",,"1,080,945",,"1,397,691",,"1,759,200",7.8
