Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
10 to 49 acres ....................................................................farms,290,191,450,418,549,437,"1,572",155,,,,,
acres,"8,580","5,235","11,789","12,107","15,943","11,841","41,802","3,531",,,,,
50 to 69 acres ....................................................................farms,100,57,130,131,222,174,390,51,,,,,
acres,"5,792","3,318","7,546","7,625","13,109","10,176","22,724","2,960",,,,,
70 to 99 acres ....................................................................farms,94,74,116,118,300,144,345,56,,,,,
acres,"7,807","6,123","9,606","9,888","24,821","11,532","28,428","4,665",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,83,52,83,89,284,120,251,35,,,,,
acres,"9,538","5,856","9,499","10,124","32,723","13,524","29,210","4,092",,,,,
140 to 179 acres ................................................................farms,65,35,58,55,157,80,150,19,,,,,
acres,"10,139","5,358","9,150","8,785","24,863","12,568","23,465","3,036",,,,,
180 to 219 acres ................................................................farms,30,23,33,26,79,39,93,10,,,,,
acres,"5,927","4,630","6,489","5,173","15,647","7,718","18,399","1,971",,,,,
220 to 259 acres ................................................................farms,32,15,31,19,72,25,60,11,,,,,
acres,"7,491","3,510","7,371","4,557","17,000","6,017","14,137","2,629",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,80,50,67,65,154,57,120,16,,,,,
acres,"29,136","17,318","22,895","24,046","54,078","19,045","39,799","6,091",,,,,
500 to 999 acres ................................................................farms,35,26,43,44,50,13,39,6,,,,,
acres,"23,909","18,860","27,982","32,953","33,927","8,920","24,583","3,809",,,,,
"1,000 to 1,999 acres ..........................................................farms",41,4,17,43,19,1,2,3,,,,,
acres,"54,028",(D),"24,132","61,145","24,695",(D),(D),(D),,,,,
"2,000 acres or more ...........................................................farms",24,1,6,39,6,-,-,1,,,,,
acres,"111,350",(D),"15,921","134,304","13,907",-,-,(D),,,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",696,442,833,890,"1,273",867,"2,580",239,,,,,
2002,711,481,937,948,"1,467","1,114","3,109",320,,,,,
"acres, 2007","154,633","34,257","93,141","250,270","103,973","39,805","118,582","22,137",,,,,
2002,"172,872","40,331","108,513","271,814","130,139","51,447","159,347","20,100",,,,,
"Harvested cropland ......................................................farms, 2007",410,354,716,558,"1,027",717,"2,239",189,,,,,
2002,460,358,776,623,"1,089",947,"2,634",260,,,,,
"acres, 2007","101,530","17,662","70,975","211,202","65,122","20,745","75,957","14,044",,,,,
2002,"124,163","19,059","82,074","238,337","63,457","21,482","80,936","10,682",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",212,182,246,231,425,359,"1,006",78,,,,,
2002,303,307,534,324,920,745,"2,135",148,,,,,
"acres, 2007","23,072","13,693","14,877","16,245","29,427","16,338","35,133","5,154",,,,,
2002,"23,536","18,443","22,234","15,737","60,173","26,216","71,144","7,946",,,,,
Item,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms ...........................................................................number, 2007",715,669,462,624,623,"1,683",491,"1,017",,,,,
2002,736,700,568,602,634,"2,014",408,"1,084",,,,,
"Land in farms .................................................................. acres, 2007","69,383","54,599","60,646","147,951","109,752","151,042","214,336","165,442",,,,,
2002,"57,825","63,413","64,007","153,787","112,334","168,154","211,022","173,283",,,,,
"Average size of farm ............................................... acres, 2007",97,82,131,237,176,90,437,163,,,,,
2002,79,91,113,255,177,83,517,160,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings ................. farms, 2007",715,669,462,624,623,"1,683",491,"1,017",,,,,
2002,732,701,565,603,636,"2,009",406,"1,084",,,,,
"$1,000, 2007","264,574","296,950","179,207","366,892","279,763","549,437","518,730","386,950",,,,,
2002,"197,705","255,903","121,691","219,463","183,139","479,367","340,354","244,928",,,,,
"Average per farm .................................................. dollars, 2007","370,033","443,871","387,894","587,967","449,058","326,463","1,056,476","380,482",,,,,
2002,"270,088","365,055","215,382","363,952","287,955","238,610","838,311","225,948",,,,,
"Average per acre ................................................... dollars, 2007","3,813","5,439","2,955","2,480","2,549","3,638","2,420","2,339",,,,,
2002,"3,852","3,074","1,954","1,236","1,476","2,716","1,621","1,394",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 .............................................................................",67,46,42,32,59,134,37,85,,,,,
"$50,000 to $99,999 ....................................................................",47,56,53,71,63,212,61,142,,,,,
"$100,000 to $199,999 ................................................................",161,102,97,118,145,418,122,250,,,,,
"$200,000 to $499,999 ................................................................",301,257,149,216,208,637,104,343,,,,,
"$500,000 to $999,999 ................................................................",96,153,88,101,90,209,57,119,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ..........................................................",32,44,27,54,33,53,56,54,,,,,
"$2,000,000 to $4,999,999 ..........................................................",11,10,5,25,25,17,29,21,,,,,
"$5,000,000 to $9,999,999 ..........................................................",-,1,1,6,-,3,16,2,,,,,
"$10,000,000 or more ..................................................................",-,-,-,1,-,-,9,1,,,,,
,,,,,,,,,,,,,
"Approximate land area .................................................... acres, 2007","103,060","347,199","142,263","427,229","369,847","311,459","341,220","332,815",,,,,
"Proportion in farms ............................................... percent, 2007",67.3,15.7,42.6,34.6,29.7,48.5,62.8,49.7,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,53,80,32,8,29,116,24,32,,,,,
acres,343,(D),123,17,136,606,142,144,,,,,
10 to 49 acres ................................................................... farms,292,302,114,140,205,694,140,262,,,,,
acres,"7,735","7,932","3,324","4,373","5,793","17,902","3,979","7,724",,,,,
50 to 69 acres ................................................................... farms,83,66,55,75,58,180,72,101,,,,,
acres,"4,698","3,823","3,277","4,308","3,413","10,387","4,176","5,858",,,,,
70 to 99 acres ................................................................... farms,102,73,63,91,60,236,52,136,,,,,
acres,"8,220","6,049","5,160","7,490","5,048","19,839","4,230","11,376",,,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,60,52,62,81,65,154,40,129,,,,,
acres,"7,014","5,873","7,119","9,627","7,515","18,037","4,569","14,501",,,,,
140 to 179 acres ............................................................... farms,46,26,37,39,39,89,13,91,,,,,
acres,"7,253","4,107","5,884","5,996","6,176","14,100","2,131","14,360",,,,,
180 to 219 acres ............................................................... farms,18,17,22,41,30,60,17,66,,,,,
acres,"3,653","3,340","4,398","8,089","5,892","11,664","3,295","13,191",,,,,
220 to 259 acres ............................................................... farms,10,9,14,25,21,53,12,43,,,,,
acres,"2,413","2,151",(D),"5,940","5,005","12,763","2,882","10,075",,,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,35,29,51,64,65,76,28,108,,,,,
acres,"13,354","9,925","17,822","22,989","21,684","27,359","10,015","36,922",,,,,
500 to 999 acres ............................................................... farms,9,14,10,35,34,22,31,31,,,,,
acres,"5,590","9,449","6,699","24,088","21,603","14,084","22,412","21,128",,,,,
"1,000 to 1,999 acres .......................................................... farms",7,1,2,16,14,3,38,13,,,,,
acres,"9,110",(D),(D),"21,716","19,912","4,301","57,624","15,823",,,,,
"2,000 acres or more .......................................................... farms",-,-,-,9,3,-,24,5,,,,,
acres,-,-,-,"33,318","7,575",-,"98,881","14,340",,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,75,86,55,5,27,189,5,20,,,,,
acres,(D),(D),198,27,161,996,30,109,,,,,
10 to 49 acres ................................................................... farms,334,293,163,135,175,805,89,274,,,,,
acres,"8,443","7,585","4,360","4,141","4,961","21,338","2,622","8,566",,,,,
50 to 69 acres ................................................................... farms,78,84,51,58,88,242,41,112,,,,,
acres,"4,577","4,966","3,000","3,371","5,211","13,897","2,357","6,478",,,,,
70 to 99 acres ................................................................... farms,98,56,97,90,63,233,34,137,,,,,
acres,"7,944","4,557","7,949","7,606","5,241","19,242","2,882","11,697",,,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,56,52,66,76,70,210,47,166,,,,,
acres,"6,537","6,015","7,531","8,859","7,964","24,202","5,436","18,993",,,,,
140 to 179 acres ............................................................... farms,33,42,43,44,40,125,34,107,,,,,
acres,"5,247","6,489","6,748","6,807","6,288","19,439","5,403","17,083",,,,,
180 to 219 acres ............................................................... farms,16,22,27,38,36,70,16,60,,,,,
acres,"3,084","4,217",(D),"7,574","7,324","13,872","3,110",(D),,,,,
220 to 259 acres ............................................................... farms,12,7,19,29,30,36,12,37,,,,,
acres,"2,823","1,684","4,484","6,900","7,222","8,466","2,821","8,730",,,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,21,39,33,62,61,77,37,97,,,,,
acres,"7,956","13,672","11,562","21,567","21,377","25,731","13,249","33,132",,,,,
500 to 999 acres ............................................................... farms,11,18,8,39,30,21,34,63,,,,,
acres,"7,420","12,704","4,610","26,241","18,653","12,824","23,748","41,591",,,,,
"1,000 to 1,999 acres .......................................................... farms",1,1,5,14,8,6,34,10,,,,,
acres,(D),(D),"5,927","19,170","11,805","8,147","47,992","13,235",,,,,
"2,000 acres or more .......................................................... farms",1,-,1,12,6,-,25,1,,,,,
acres,(D),-,(D),"41,524","16,127",-,"101,372",(D),,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland ................................................................. farms, 2007",589,461,409,497,476,"1,423",411,820,,,,,
2002,669,555,540,503,562,"1,886",370,943,,,,,
"acres, 2007","38,874","22,521","23,120","78,720","63,483","56,334","196,282","86,150",,,,,
2002,"37,919","31,716","27,133","79,695","66,723","83,297","179,913","90,681",,,,,
"Harvested cropland ..................................................... farms, 2007",496,373,335,290,304,"1,240",248,509,,,,,
2002,538,410,484,325,374,"1,649",246,569,,,,,
"acres, 2007","21,468","13,026","11,205","47,493","39,973","38,235","172,784","54,351",,,,,
2002,"20,221","14,780","10,544","46,826","40,099","40,728","158,806","46,627",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing .................. farms, 2007",234,143,192,169,157,484,102,255,,,,,
2002,427,321,320,219,262,"1,194",132,437,,,,,
"acres, 2007","14,823","6,793","10,042","16,034","10,505","14,364","6,941","13,425",,,,,
2002,"16,247","14,902","14,835","18,396","13,626","36,960","8,191","26,060",,,,,
Item,Henry,Hickman,Houston,Humphreys,Jackson,Jefferson,Johnson,Knox,,,,,
ARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"arms .......................................................................... number, 2007",958,651,382,638,587,"1,211",513,"1,224",,,,,
2002,965,756,336,718,609,"1,311",666,"1,410",,,,,
"and in farms ...................................................................acres, 2007","193,416","112,187","47,190","118,412","75,642","101,585","43,543","82,938",,,,,
2002,"193,512","128,527","48,824","134,682","79,078","107,703","49,070","93,563",,,,,
"Average size of farm ................................................acres, 2007",202,172,124,186,129,84,85,68,,,,,
2002,201,170,145,188,130,82,74,66,,,,,
,,,,,,,,,,,,,
"stimated market value of land and buildings .................farms, 2007",958,651,382,638,587,"1,211",513,"1,224",,,,,
2002,963,757,337,717,610,"1,309",664,"1,410",,,,,
"$1,000, 2007","524,643","307,143","113,915","304,963","205,943","475,280","190,230","536,782",,,,,
2002,"302,888","233,753","77,307","233,841","150,206","376,809","161,407","505,564",,,,,
"Average per farm ................................................... dollars, 2007","547,644","471,801","298,207","477,999","350,839","392,469","370,818","438,547",,,,,
2002,"314,525","308,789","229,397","326,138","246,239","287,860","243,083","358,556",,,,,
"Average per acre ................................................... dollars, 2007","2,713","2,738","2,414","2,575","2,723","4,679","4,369","6,472",,,,,
2002,"1,536","1,519","1,457","1,599","1,731","3,853","3,744","5,170",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",127,26,28,32,62,91,52,88,,,,,
"$50,000 to $99,999 .....................................................................",131,63,48,82,63,147,55,135,,,,,
"$100,000 to $199,999 .................................................................",197,142,119,136,125,235,95,258,,,,,
"$200,000 to $499,999 .................................................................",257,230,128,240,224,462,188,439,,,,,
"$500,000 to $999,999 .................................................................",145,120,43,76,70,199,85,232,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",63,48,12,45,36,58,32,49,,,,,
"$2,000,000 to $4,999,999 ...........................................................",22,20,4,22,6,15,6,18,,,,,
"$5,000,000 to $9,999,999 ...........................................................",10,2,-,4,1,2,-,3,,,,,
"$10,000,000 or more ..................................................................",6,-,-,1,-,2,-,2,,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","359,348","392,013","128,197","340,619","197,685","175,241","191,029","325,375",,,,,
"Proportion in farms ...............................................percent, 2007",53.8,28.6,36.8,34.8,38.3,58,22.8,25.5,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,42,10,15,10,47,123,29,158,,,,,
acres,186,54,36,68,(D),718,109,830,,,,,
10 to 49 acres ....................................................................farms,252,186,127,214,181,526,224,589,,,,,
acres,"7,103","5,140","3,233","5,537","4,871","14,513","6,253","14,277",,,,,
50 to 69 acres ....................................................................farms,100,60,32,61,49,137,74,131,,,,,
acres,"5,834","3,470","1,943","3,453","2,869","7,985","4,390","7,515",,,,,
70 to 99 acres ....................................................................farms,162,76,47,48,62,148,70,118,,,,,
acres,"13,268","6,147","3,771","4,016","4,938","12,439","5,731","9,601",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,123,65,51,73,86,87,41,98,,,,,
acres,"14,455","7,554","5,881","8,576","10,061","10,100","4,693","11,257",,,,,
140 to 179 acres ................................................................farms,65,63,42,43,49,65,27,34,,,,,
acres,"10,032","9,869","6,486","6,816","7,526","10,358","4,300","5,280",,,,,
180 to 219 acres ................................................................farms,27,37,23,33,24,30,10,17,,,,,
acres,"5,400","7,459","4,640","6,488","4,711","5,858","1,972","3,347",,,,,
220 to 259 acres ................................................................farms,37,28,11,23,30,30,9,25,,,,,
acres,"8,745",(D),"2,586","5,409","7,036","7,043",(D),"6,115",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,79,78,21,74,33,46,23,40,,,,,
acres,"28,089","27,170","7,205","24,463","11,058","16,005","8,223","13,303",,,,,
500 to 999 acres ................................................................farms,43,40,8,40,20,15,4,11,,,,,
acres,"30,368","26,211","4,816","25,987","13,390","8,604","2,396","6,831",,,,,
"1,000 to 1,999 acres ..........................................................farms",16,6,5,16,5,2,1,2,,,,,
acres,"22,690","8,039","6,593","21,196","6,732",(D),(D),(D),,,,,
"2,000 acres or more ...........................................................farms",12,2,-,3,1,2,1,1,,,,,
acres,"47,246",(D),-,"6,403",(D),(D),(D),(D),,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,47,19,9,30,37,106,89,171,,,,,
acres,240,112,47,145,193,572,(D),(D),,,,,
10 to 49 acres ....................................................................farms,276,203,80,183,190,583,278,679,,,,,
acres,"7,793","5,512","2,009","5,342","5,520","15,597","7,192","16,965",,,,,
50 to 69 acres ....................................................................farms,108,77,41,86,58,162,103,173,,,,,
acres,"6,427","4,470","2,366","4,961","3,447","9,466","5,997","10,057",,,,,
70 to 99 acres ....................................................................farms,93,97,51,82,55,173,62,140,,,,,
acres,"7,551","7,871","4,175","7,077","4,541","14,202","5,184","11,879",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,122,79,42,78,87,88,54,99,,,,,
acres,"14,286","9,109","5,133","8,925","10,266","10,178","6,176","11,303",,,,,
140 to 179 acres ................................................................farms,65,74,34,53,64,52,21,46,,,,,
acres,"10,038","11,445","5,298","8,466","10,119","7,996","3,224","7,274",,,,,
180 to 219 acres ................................................................farms,49,52,23,48,25,42,19,36,,,,,
acres,"9,548","10,313","4,624","9,596","4,869","8,326","3,636","7,081",,,,,
220 to 259 acres ................................................................farms,39,25,11,14,21,23,10,22,,,,,
acres,"9,337","5,810","2,534","3,314","4,938","5,499","2,413","5,216",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,94,87,29,86,43,65,23,28,,,,,
acres,"33,295","30,983","9,334","29,665","14,954","20,809","8,239","9,381",,,,,
500 to 999 acres ................................................................farms,48,31,13,41,25,14,5,12,,,,,
acres,"35,135","20,345","8,904","25,695","15,393","8,566","2,882","7,668",,,,,
"1,000 to 1,999 acres ..........................................................farms",10,8,3,13,4,2,1,3,,,,,
acres,"12,716","10,531","4,400","19,696","4,838",(D),(D),"3,277",,,,,
"2,000 acres or more ...........................................................farms",14,4,-,4,-,1,1,1,,,,,
acres,"47,146","12,026",-,"11,800",-,(D),(D),(D),,,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",767,486,289,496,468,951,454,875,,,,,
2002,845,640,279,582,545,"1,191",625,"1,154",,,,,
"acres, 2007","126,517","43,685","18,392","52,652","27,888","49,249","18,056","35,118",,,,,
2002,"126,735","58,986","23,536","62,552","32,652","67,213","24,627","53,190",,,,,
"Harvested cropland ......................................................farms, 2007",553,401,224,433,349,835,400,718,,,,,
2002,553,473,228,455,384,958,554,915,,,,,
"acres, 2007","92,084","27,128","9,576","31,034","12,166","33,140","10,599","23,073",,,,,
2002,"91,846","29,828","11,147","34,578","11,964","34,733","12,371","27,337",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",225,164,97,153,206,345,158,273,,,,,
2002,355,413,188,339,357,843,356,708,,,,,
"acres, 2007","15,768","12,559","6,578","14,134","11,632","12,574","6,052","9,226",,,,,
2002,"18,424","25,877","11,344","22,216","18,026","27,471","10,451","23,239",,,,,
Item,Lake,,Lauderdale,Lawrence,Lewis,Lincoln,Loudon,McMinn,McNairy,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms ...........................................................................number, 2007",59,,602,"1,842",260,"1,782",768,"1,204",763,,,,
2002,64,,624,"1,869",251,"1,926",954,"1,204",822,,,,
"Land in farms .................................................................. acres, 2007","84,100",,"192,232","238,318","35,566","260,874","77,040","122,502","122,763",,,,
2002,"90,200",,"215,072","236,237","36,988","284,161","82,656","127,609","134,242",,,,
"Average size of farm ............................................... acres, 2007","1,425",,319,129,137,146,100,102,161,,,,
2002,"1,409",,345,126,147,148,87,106,163,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings ................. farms, 2007",59,,602,"1,842",260,"1,782",768,"1,204",763,,,,
2002,65,,622,"1,871",247,"1,922",955,"1,208",817,,,,
"$1,000, 2007","232,257",,"419,584","738,918","101,817","896,984","380,835","492,991","271,124",,,,
2002,"136,122",,"336,977","413,683","67,394","641,877","330,426","327,958","150,944",,,,
"Average per farm .................................................. dollars, 2007","3,936,558",,"696,984","401,150","391,603","503,358","495,878","409,461","355,340",,,,
2002,"2,094,192",,"541,763","221,103","272,848","333,963","345,996","271,489","184,754",,,,
"Average per acre ................................................... dollars, 2007","2,762",,"2,183","3,101","2,863","3,438","4,943","4,024","2,209",,,,
2002,"1,509",,"1,420","1,808","1,906","2,024","3,938","2,814","1,061",,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 .............................................................................",3,,85,129,19,90,50,67,71,,,,
"$50,000 to $99,999 ....................................................................",1,,93,251,22,171,55,134,116,,,,
"$100,000 to $199,999 ................................................................",4,,149,445,55,337,156,248,190,,,,
"$200,000 to $499,999 ................................................................",15,,146,590,102,686,297,436,244,,,,
"$500,000 to $999,999 ................................................................",1,,47,290,47,309,143,233,97,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ..........................................................",1,,38,105,9,133,40,60,33,,,,
"$2,000,000 to $4,999,999 ..........................................................",16,,21,24,6,44,23,23,10,,,,
"$5,000,000 to $9,999,999 ..........................................................",8,,17,6,-,5,3,3,1,,,,
"$10,000,000 or more ..................................................................",10,,6,2,-,7,1,-,1,,,,
,,,,,,,,,,,,,
"Approximate land area .................................................... acres, 2007","104,570",,"301,057","395,023","180,540","364,997","146,547","275,378","360,184",,,,
"Proportion in farms ............................................... percent, 2007",80.4,,63.9,60.3,19.7,71.5,52.6,44.5,34.1,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,3,,18,133,22,90,68,75,24,,,,
acres,7,,71,699,86,496,(D),(D),142,,,,
10 to 49 acres ................................................................... farms,1,,236,615,80,637,365,538,197,,,,
acres,(D),,"6,808","17,564","2,187","16,377","8,947","14,615","5,800",,,,
50 to 69 acres ................................................................... farms,3,,72,220,31,164,68,115,96,,,,
acres,159,,"4,193","12,895","1,833","9,512","3,898","6,684","5,669",,,,
70 to 99 acres ................................................................... farms,9,,73,237,22,178,62,122,130,,,,
acres,792,,"6,152","19,590","1,883","14,661","5,012","9,963","10,642",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,1,,56,186,26,172,64,93,75,,,,
acres,(D),,"6,312","21,054","2,989","20,297","7,392","10,699","8,782",,,,
140 to 179 acres ............................................................... farms,4,,16,91,18,129,42,76,58,,,,
acres,(D),,"2,429","14,366","2,861","20,222","6,528","12,005","9,145",,,,
180 to 219 acres ............................................................... farms,-,,17,73,6,93,26,53,46,,,,
acres,-,,"3,303","14,550","1,143","18,323","5,060","10,458","9,169",,,,
220 to 259 acres ............................................................... farms,-,,23,68,14,56,11,23,34,,,,
acres,-,,"5,384","15,942",(D),"13,446","2,586","5,399","7,948",,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,3,,17,141,27,179,29,81,58,,,,
acres,"1,034",,"5,781","49,229","9,175","62,636","10,363","28,330","19,640",,,,
500 to 999 acres ............................................................... farms,9,,26,61,13,65,25,22,33,,,,
acres,"6,646",,"17,385","39,486","9,033","43,231","15,746","14,246","21,262",,,,
"1,000 to 1,999 acres .......................................................... farms",8,,22,12,1,11,7,5,8,,,,
acres,"10,948",,"29,246","16,213",(D),"13,563","9,040","7,299","10,449",,,,
"2,000 acres or more .......................................................... farms",18,,26,5,-,8,1,1,4,,,,
acres,"63,755",,"105,168","16,730",-,"28,110",(D),(D),"14,115",,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,1,,35,73,-,91,60,66,16,,,,
acres,(D),,178,450,-,530,(D),395,94,,,,
10 to 49 acres ................................................................... farms,9,,202,651,66,593,478,492,179,,,,
acres,(D),,"5,674","18,289","2,198","16,033","12,005","13,073","5,125",,,,
50 to 69 acres ................................................................... farms,2,,65,223,26,209,90,126,108,,,,
acres,(D),,"3,728","12,949",(D),"12,223","5,199","7,331","6,320",,,,
70 to 99 acres ................................................................... farms,7,,71,230,45,257,92,122,135,,,,
acres,573,,"6,020","18,870","3,853","21,210","7,483","9,949","11,305",,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,1,,45,209,39,213,80,141,123,,,,
acres,(D),,"5,298","23,801","4,636","24,440","9,428","16,214","14,431",,,,
140 to 179 acres ............................................................... farms,2,,38,148,16,132,57,85,50,,,,
acres,(D),,"5,916","23,473","2,549","20,511","8,903","13,242","7,669",,,,
180 to 219 acres ............................................................... farms,2,,17,67,14,105,24,37,42,,,,
acres,(D),,"3,344","13,308","2,789","20,705","4,721","7,273","8,219",,,,
220 to 259 acres ............................................................... farms,1,,13,68,10,62,17,27,37,,,,
acres,(D),,"3,158","16,078","2,321","14,859","3,947","6,323","8,770",,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,4,,39,136,18,155,34,71,90,,,,
acres,"1,393",,"13,444","47,811","5,880","54,264","11,994","24,297","31,787",,,,
500 to 999 acres ............................................................... farms,8,,44,48,16,90,15,30,31,,,,
acres,"6,197",,"28,155","31,336","10,175","60,211","10,172","19,849","20,815",,,,
"1,000 to 1,999 acres .......................................................... farms",10,,29,12,1,10,6,7,7,,,,
acres,"16,652",,"42,601","16,586",(D),"13,213","6,399","9,663","9,507",,,,
"2,000 acres or more .......................................................... farms",17,,26,4,-,9,1,-,4,,,,
acres,"63,931",,"97,556","13,286",-,"25,962",(D),-,"10,200",,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland ................................................................. farms, 2007",57,,517,"1,415",170,"1,331",577,916,611,,,,
2002,62,,554,"1,523",198,"1,480",796,"1,030",670,,,,
"acres, 2007","81,149",,"162,700","120,908","13,995","117,883","39,310","56,371","68,318",,,,
2002,"88,104",,"189,382","128,001","14,720","149,258","49,149","72,029","74,798",,,,
"Harvested cropland ..................................................... farms, 2007",56,,264,"1,022",128,"1,097",488,773,366,,,,
2002,59,,364,"1,074",151,"1,102",624,799,403,,,,
"acres, 2007","78,614",,"134,679","77,846","6,772","83,486","27,357","37,435","41,513",,,,
2002,"84,153",,"159,821","70,524","7,312","87,240","28,339","39,942","40,160",,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing .................. farms, 2007",2,,133,512,63,460,206,290,177,,,,
2002,3,,150,851,106,880,514,689,269,,,,
"acres, 2007",(D),,"7,714","25,746","5,838","27,013","9,414","13,216","9,013",,,,
2002,(D),,"7,635","42,714","5,635","53,605","17,306","29,137","14,352",,,,
Item,Macon,Madison,Marion,Marshall,Maury,Meigs,Monroe,Montgomery,,,,,
ARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"arms .......................................................................... number, 2007","1,066",706,392,"1,078","1,696",367,935,862,,,,,
2002,"1,317",740,298,"1,312","1,754",340,955,"1,090",,,,,
"and in farms ...................................................................acres, 2007","127,801","177,090","50,593","151,583","226,404","49,116","92,570","151,461",,,,,
2002,"145,137","161,861","50,932","174,794","240,833","48,918","99,468","166,648",,,,,
"Average size of farm ................................................acres, 2007",120,251,129,141,133,134,99,176,,,,,
2002,110,219,171,133,137,144,104,153,,,,,
,,,,,,,,,,,,,
"stimated market value of land and buildings .................farms, 2007","1,066",706,392,"1,078","1,696",367,935,862,,,,,
2002,"1,318",738,296,"1,311","1,756",338,957,"1,088",,,,,
"$1,000, 2007","417,842","495,962","183,590","494,859","856,652","175,829","378,512","490,413",,,,,
2002,"402,099","397,832","105,763","388,455","684,660","121,814","297,250","397,121",,,,,
"Average per farm ................................................... dollars, 2007","391,972","702,495","468,342","459,053","505,101","479,098","404,826","568,924",,,,,
2002,"305,082","539,067","357,306","296,304","389,898","360,395","310,606","365,001",,,,,
"Average per acre ................................................... dollars, 2007","3,269","2,801","3,629","3,265","3,784","3,580","4,089","3,238",,,,,
2002,"2,648","2,530","2,009","2,255","2,579","2,813","2,926","2,412",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",71,56,20,59,137,9,62,64,,,,,
"$50,000 to $99,999 .....................................................................",125,98,46,106,114,38,100,69,,,,,
"$100,000 to $199,999 .................................................................",234,146,52,253,321,82,202,172,,,,,
"$200,000 to $499,999 .................................................................",395,222,175,379,641,125,354,314,,,,,
"$500,000 to $999,999 .................................................................",163,106,64,174,287,78,146,142,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",58,24,22,74,149,26,51,59,,,,,
"$2,000,000 to $4,999,999 ...........................................................",18,29,11,27,39,8,18,34,,,,,
"$5,000,000 to $9,999,999 ...........................................................",2,21,2,5,5,-,2,5,,,,,
"$10,000,000 or more ..................................................................",-,4,-,1,3,1,-,3,,,,,
,,,,,,,,,,,,,
